lemma,pos,suffix,anchor,qid,sid,etym,status,first_seen,last_seen,forms,glosses
agunah,noun,2,sig:agunot,,,,active,2025-08-17,2025-08-17,agunot,
agunah,noun,3,sig:agunoth,,,,active,2025-08-17,2025-08-17,agunoth,
aheer,noun,2,sig:aheer,,,,active,2025-08-17,2025-08-17,aheer,
ahegao,noun,2,sig:ahegao,,,,active,2025-08-17,2025-08-17,ahegao,
ahi,noun,2,sig:ahi,,,,active,2025-08-17,2025-08-17,ahi,
ahir,noun,2,sig:ahir,,,,active,2025-08-17,2025-08-17,ahir,
ahlspiess,noun,1,sig:ahlspiessen,,,,active,2025-08-17,2025-08-17,ahlspiessen,
ahoge,noun,1,sig:ahoge,,,,active,2025-08-17,2025-08-17,ahoge,
aholehole,noun,2,sig:aholehole,,,,active,2025-08-17,2025-08-17,aholehole,
ahom,noun,2,sig:ahom,,,,active,2025-08-17,2025-08-17,ahom,
ahousaht,noun,2,sig:ahousaht,,,,active,2025-08-17,2025-08-17,ahousaht,
ahousat,noun,2,sig:ahousat,,,,active,2025-08-17,2025-08-17,ahousat,
ahrs,noun,1,sig:ahrss,,,,active,2025-08-17,2025-08-17,ahrss,
ahts,noun,2,sig:ahtss,,,,active,2025-08-17,2025-08-17,ahtss,
ahu,noun,2,sig:ahu,,,,active,2025-08-17,2025-08-17,ahu,
ai,noun,2,sig:ai,,,,active,2025-08-17,2025-08-17,ai,
aidoru,noun,1,sig:aidoru,,,,active,2025-08-17,2025-08-17,aidoru,
aiis,noun,1,sig:aiiss,,,,active,2025-08-17,2025-08-17,aiiss,
aikidoka,noun,2,sig:aikidoka,,,,active,2025-08-17,2025-08-17,aikidoka,
aimak,noun,2,sig:aimak,,,,active,2025-08-17,2025-08-17,aimak,
aimaq,noun,2,sig:aimaq,,,,active,2025-08-17,2025-08-17,aimaq,
ainu,noun,2,sig:ainu,,,,active,2025-08-17,2025-08-17,ainu,
airborne,noun,2,sig:airborne,,,,active,2025-08-17,2025-08-17,airborne,
airbus,noun,2,sig:airbusses,,,,active,2025-08-17,2025-08-17,airbusses,
