infinitive,third_person_singular,past,present_participle,past_participle
spur,spurs,spurred,spurring,spurred
kabob,kabobs,kabobbed,kabobbing,kabobbed
downtrod,downtrods,downtrod,downtrodding,downtrodden
vie,vies,vied,vieing,vied
chestfeed,chestfeeds,chestfed,chestfeeding,chestfed
spaye,spayes,spayed,spayeing,spayed
sheepdog,sheepdogs,sheepdogged,sheepdogging,sheepdogged
bescrub,bescrubs,bescrubbed,bescrubbing,bescrubbed
georectify,georectifies,georectified,georectifying,georectified
unbin,unbins,unbinned,unbinning,unbinned
rediagram,rediagrams,rediagrammed,rediagramming,rediagrammed
salify,salifies,salified,salifying,salified
bum,bums,bummed,bumming,bummed
banquet,banquets,banquetted,banquetting,banquetted
