souvlaki2,souvlakia
editrix2,editrixes
matai2,matai
dillseed2,dillseed
pyrena,pyrenae
juxtallocortex2,juxtallocortices
norridgewock2,norridgewock
spitful2,spitsful
nonfish2,nonfishes
chef,chefs
naumkeag2,naumkeag
longshucks,longshucks
precuneus,precunei
overblouse,overblouses
tsotsile2,tsotsile
prevertebra,prevertebrae
flamen2,flamines
neckkerchief2,neckkerchiefs
chorioangioma2,chorioangiomata
kamaboko2,kamaboko
forzato2,forzati
pterippus,pterippi
methylazoxy,methylazoxys
nephrozoan2,nephrozoa
kodama,kodama
luff,luffs
hartebeest2,hartebeest
talmid,talmidim
hiwi2,hiwi
nastoyka2,nastoyki
chowtal2,chowtal
paraphragma,paraphragmata
methylimidazolium,methylimidazoliums
mohmand2,mohmand
foaf,foafs
macrococcus,macrococci
drinkstuff,drinkstuffs
abozzo,abozzi
morlach,morlachs
nipcheese,nipcheeses
sigma2,sigmata
melamed,melamdim
oropom,oropom
kleestengel,kleestengel
nair2,nair
liquidus2,liquidi
hyperpyron2,hyperpyra
manservant2,menservants
hemangiopericytoma2,hemangiopericytomata
fresco2,frescoes
aryballus,aryballi
tangum,tangums
tsunami2,tsunami
shinobu,shinobu
radeau2,radeaus
fallfish2,fallfishes
sylheti2,sylheti
sforzato2,sforzati
maliseet2,maliseet
columbium,columbiums
rubberful2,rubbersful
hinahina,hinahina
ethrog2,ethrogim
hyperghetto2,hyperghettoes
mallin2,mallines
choreotrich,choreotrichs
egun,egungun
ore2,ore
metodichka,metodichki
frisco2,friscoes
klomp2,klompen
bamf,bamfs
windigo2,windigo
windigo3,windigoes
windigo4,windigog
basuto2,basuto
komboskini,komboskini
pagina,paginae
pseudimago2,pseudimagoes
daimonion,daimonia
fundus,fundi
malleefowl2,malleefowl
inotagma,inotagmata
panniculitis,panniculitides
grandchild,grandchildren
bunko2,bunkoes
omake,omake
demogeron2,demogerontes
scalyfoot,scalyfoots
karbi2,karbi
heya,heya
snoqualmie2,snoqualmie
tefila,tefilos
reichskanzler2,reichskanzler
peninsula2,peninsulae
maseed2,maseed
lis,lisses
fawnsfoot,fawnsfoots
gly,glys
logion,logia
permille,permille
costal2,costales
chordacentrum2,chordacentrums
billfish2,billfishes
imitatrix,imitatrixes
catulus,catuli
sphex,spheges
carrus,carri
aminium,aminiums
metical2,meticais
saho2,saho
calathis,calathides
saxicava2,saxicavae
moriori2,moriori
rwnj2,rwnj
pergula2,pergulae
kesa2,kesa
