positive,comparative,superlative
wolfy,wolfier,wolfiest
owld,owlder,owldest
sparky,sparkier,sparkiest
myrie,myrier,myriest
tatty,tattier,tattiest
easy,easier,easiest
techy2,techier,techiest
tricksy,tricksier,tricksiest
squooshy,squooshier,squooshiest
hye,hyer,hyest
nait,naiter,naitest
frequent,frequenter,frequentest
dank,danker,dankest
veally,veallier,vealliest
quack,quacker,quackest
marshmallowy,marshmallowier,marshmallowiest
unfree,unfreer,unfreest
oaky,oakier,oakiest
slitty,slittier,slittiest
growly,growlier,growliest
maidly,maidlier,maidliest
silly,sillier,silliest
pukey,pukier,pukiest
timid,timider,timidest
figgy,figgier,figgiest
rank,ranker,rankest
ancient,ancienter,ancientest
fey,feyer,feyest
alonely,alonelier,aloneliest
gray,grayer,grayest
tinkly,tinklier,tinkliest
steely,steelier,steeliest
farmy,farmier,farmiest
faggoty,faggotier,faggotiest
sussy,sussier,sussiest
kitschy,kitschier,kitschiest
cheesy,cheesier,cheesiest
bleak,bleaker,bleakest
lovable,lovabler,lovablest
dappy,dappier,dappiest
fleek,fleeker,fleekest
miry,mirier,miriest
onery,onerier,oneriest
gobby,gobbier,gobbiest
vulgar,vulgarer,vulgarest
bittie,bittier,bittiest
sheer,sheerer,sheerest
flippy,flippier,flippiest
mirky,mirkier,mirkiest
spacy,spacier,spaciest
paltry,paltrier,paltriest
neat,neater,neatest
burbly,burblier,burbliest
seveare,sevearer,sevearest
squawky,squawkier,squawkiest
fappy,fappier,fappiest
wasty,wastier,wastiest
thymey,thymier,thymiest
remote,remoter,remotest
lavy,lavier,laviest
scant,scanter,scantest
cheerful,cheerfuler,cheerfulest
pizzazzy,pizzazzier,pizzazziest
deare,dearer,dearest
rooty,rootier,rootiest
absent,absenter,absentest
chromy,chromier,chromiest
groggy,groggier,groggiest
pervy,pervier,perviest
robust,robuster,robustest
crafty,craftier,craftiest
teuch,teucher,teuchest
roomy,roomier,roomiest
shimmery,shimmerier,shimmeriest
painful,painfuller,painfullest
wifey,wifier,wifiest
twunky,twunkier,twunkiest
drear,drearer,drearest
neighborly,neighborlier,neighborliest
ignorant,ignoranter,ignorantest
smug,smugger,smuggest
chaffy,chaffier,chaffiest
spoony,spoonier,spooniest
tripy,tripier,tripiest
unsad,unsadder,unsaddest
artsy,artsier,artsiest
pitchy,pitchier,pitchiest
hatty,hattier,hattiest
scrawly,scrawlier,scrawliest
pongy,pongier,pongiest
smutty,smuttier,smuttiest
namely,namelier,nameliest
newsy,newsier,newsiest
kvetchy,kvetchier,kvetchiest
oniony2,onionier,onioniest
jiggy,jiggier,jiggiest
crass,crasser,crassest
branchy,branchier,branchiest
cringeworthy,cringeworthier,cringeworthiest
profane,profaner,profanest
poachy,poachier,poachiest
dud,more dud,duddest
squashy,squashier,squashiest
blowy,blowier,blowiest
slippery,slipperier,slipperiest
shaky,shakier,shakiest
straicht,straichter,straichtest
purple,purpler,purplest
portly,portlier,portliest
blotchy,blotchier,blotchiest
drooly,droolier,drooliest
